#{"t_start": 1751936369.1606982, "env_id": "None"}
r,l,t
33.745746,472,3.094912
1268.298468,722,5.315352
1241.46676,699,6.799616
1206.958134,697,13.867407
1205.31324,700,15.23258
1175.272455,691,19.074973
1226.937548,703,27.481168
1016.469971,692,28.851138
1154.990147,704,30.24517
1152.952954,695,37.495404
1075.009386,703,39.056169
1157.876592,697,40.684725
1116.870311,702,48.119731
1193.410297,706,50.059011
1166.562627,702,57.266125
1134.784491,700,59.048222
1192.070861,694,60.600618
1129.645622,704,67.725964
1115.088604,707,69.642371
1160.754209,706,71.184775
1117.750025,699,78.583143
1166.635554,707,79.994512
1217.097079,699,81.609947
1164.176072,681,88.68341
1038.053013,688,90.86812
705.546136,667,93.67415
1156.12366,705,111.549282
1172.918966,709,113.8259
1178.874084,704,116.457519
1200.625193,699,127.290214
1142.676443,699,129.220706
1041.21389,718,131.808741
1162.343034,686,143.84178
1151.881738,704,145.500875
1071.250679,695,146.925528
1139.029277,709,157.900652
1220.105092,695,159.318042
1160.654512,709,161.246642
1206.106569,712,168.991732
1151.529037,712,170.516077
1213.280874,704,172.13021
1176.511332,690,181.736788
