#{"t_start": 1751936369.146292, "env_id": "None"}
r,l,t
99.482473,508,3.300532
1255.374546,722,5.401466
1200.931272,694,6.876054
1221.826133,696,13.932829
1202.534593,702,15.334083
1136.870334,694,19.35753
1212.132573,707,27.560111
1183.27425,708,28.979795
1150.000381,702,30.476962
1106.707605,705,37.638048
1156.154194,703,39.211281
1082.975935,702,46.522847
1180.29479,709,48.334847
1128.212195,704,50.222751
1120.834505,692,57.399403
1106.336502,702,59.260803
1154.538024,688,60.738682
1224.651385,703,67.849794
1181.416144,710,69.784039
1181.89788,707,71.386243
1124.66295,698,78.706061
1151.647148,707,80.125231
1166.633322,693,81.734066
1122.860982,702,88.876755
1148.767455,697,91.195337
1171.846502,715,94.501769
1208.968915,703,111.964319
1201.662921,706,114.61954
1179.985097,705,116.896882
706.460166,668,127.554478
1152.692161,703,129.517274
1157.183368,704,132.354517
1173.541646,703,144.124942
1183.146405,717,145.733854
1082.004286,721,147.379903
1128.771857,684,158.196324
1223.259933,698,159.700405
1120.873235,699,161.496749
1171.207309,703,169.209584
1191.214078,706,170.735324
1207.179484,693,172.307654
1213.810558,698,181.974581
