#{"t_start": 1751936369.160309, "env_id": "None"}
r,l,t
-80.828653,408,2.924012
1270.275985,732,5.204559
1255.808784,709,6.71547
1267.892572,700,13.801177
1248.622632,701,15.141516
1141.998115,700,18.913214
1186.099278,691,27.404023
1168.583454,708,28.794861
1196.849387,714,30.193122
1112.921931,695,37.45442
1197.314908,695,39.00529
1139.116957,700,40.639388
1049.608403,696,48.049694
1178.113013,705,49.988815
1147.368639,705,57.218106
1127.240324,718,59.004347
1172.707205,703,60.60367
1072.494141,708,67.735518
1141.290281,704,69.648639
1135.07807,705,71.189259
1149.119514,695,78.576223
1092.444187,709,79.991477
1010.085888,675,81.549873
1082.177721,705,88.680747
1050.883819,701,90.909682
1241.804613,707,94.010323
1132.447747,708,111.694155
1125.794332,692,114.098824
1186.807377,694,116.554134
1217.527992,710,127.396246
1051.425767,721,129.389435
1231.882709,712,132.149867
1112.718725,704,144.034405
1123.243417,715,145.65698
1189.36157,697,147.124269
1151.426978,714,158.126828
1047.680302,694,159.573867
1107.233001,693,161.404455
909.530655,703,169.121951
1171.673391,692,170.614081
1082.076163,700,172.21198
1146.548039,703,181.857471
