#{"t_start": 1751936369.191751, "env_id": "None"}
r,l,t
560.568416,713,4.322847
1292.560511,691,5.798184
1216.998353,696,13.036179
1173.271063,691,14.167089
1148.359547,694,17.474049
1229.083958,692,26.628534
1142.399325,692,27.742219
1147.26919,711,29.246145
1189.957952,705,36.45647
1147.317164,711,37.898686
1089.761481,701,39.513479
1123.767689,693,46.711022
1060.269544,719,48.724955
1135.704307,690,50.466172
1135.878738,691,57.667967
1148.722742,695,59.489854
1096.249597,686,60.967166
1141.417789,694,68.195406
1150.662707,706,69.987533
958.151409,711,71.667771
1117.507365,710,78.929214
1140.982751,712,80.351053
1123.405744,705,81.982106
1132.823352,694,89.155587
1122.642113,699,91.59712
1141.241584,707,96.226102
1229.162308,705,112.385287
1145.021708,704,114.984608
1144.694692,697,117.223071
1238.719925,705,127.998481
1018.726192,684,129.955966
1212.437441,713,132.906055
1175.420701,707,144.408922
1057.704083,685,145.957464
1148.266122,709,147.597382
1210.880393,700,158.39367
1120.579381,702,160.15573
1134.30041,709,168.037244
1205.242875,693,169.437452
1256.700591,707,170.971392
1205.778614,693,179.497519
1105.867499,688,183.022328
