#{"t_start": 1751936369.187197, "env_id": "None"}
r,l,t
181.113399,505,3.213534
1289.015636,720,5.350261
1270.60362,684,6.80628
1240.92868,703,13.876907
1216.745413,701,15.267337
1185.929545,700,19.294719
1148.536655,706,27.511373
1237.632475,703,28.920367
1060.431493,704,30.410129
1174.861328,689,37.550916
1162.387058,703,39.128394
1133.724996,702,46.442943
1186.326111,699,48.205577
1142.330419,704,50.117398
1103.208846,691,57.293277
1158.423846,711,59.161918
1106.375431,708,60.684836
979.406711,719,67.829917
1157.018927,712,69.77016
903.577822,695,71.349219
1167.585939,711,78.691282
1172.959416,691,80.08012
1154.405923,699,81.702209
1168.276088,692,88.819617
1205.657187,720,91.212456
1128.39496,705,94.539967
1054.34872,710,111.965131
1271.021708,705,114.621934
1076.06917,701,116.887243
940.184465,712,127.672514
1080.187593,691,129.609357
1168.356266,708,132.510351
1120.100952,714,144.200091
986.644136,707,145.776285
1146.422848,689,147.372097
1111.494952,702,158.213505
1098.341836,709,159.948097
1207.640322,709,161.574952
1071.97506,688,169.244307
1131.942435,710,170.775802
1188.146624,696,172.347641
1242.039972,699,182.032624
