#{"t_start": 1751936369.1306949, "env_id": "None"}
r,l,t
-59.820008,416,2.977168
1233.07106,740,5.267131
1284.456548,700,6.759184
1185.425395,690,13.825162
1139.492954,698,15.157191
1187.109527,694,18.9067
1148.300341,711,27.451397
1144.45902,700,28.824413
996.371669,695,30.178732
1160.295548,698,37.443547
1184.782481,695,38.998927
1115.216235,701,40.64034
1126.422017,696,48.035367
1195.046778,705,49.985077
1143.451661,705,57.218318
1136.439092,699,58.83778
1200.096266,706,60.56551
1146.007679,710,67.711429
1155.340612,708,69.620385
1099.929727,712,71.165644
1058.276954,713,78.605783
1198.495451,699,79.999917
1133.042019,699,81.615183
1132.13201,701,88.732573
1135.502993,697,90.961001
1085.246809,705,94.112873
1089.777927,695,111.69648
1121.615361,691,114.016812
1053.362474,682,116.508644
1145.603938,696,127.330528
1206.835516,716,129.30835
1187.775853,699,131.855579
1171.168003,711,143.946384
1184.169723,703,145.577259
1139.686515,711,147.056482
1198.214318,718,158.063637
992.56144,710,159.537229
1135.520293,695,161.387839
1154.725226,702,169.102798
1093.923515,712,170.635151
1241.927054,694,172.223483
1137.000038,704,181.866874
