#{"t_start": 1751936369.128892, "env_id": "None"}
r,l,t
-77.829382,387,2.880695
1236.394594,734,5.197277
1249.667373,690,6.673874
1176.493705,694,13.747179
1167.807945,696,15.025041
1140.849579,700,18.821275
1113.737651,714,27.389602
1151.42984,710,28.775184
1139.904649,707,30.154025
1122.970523,700,37.423335
1131.701538,695,38.980655
1127.08483,708,40.635195
1141.730763,702,48.050081
1232.747435,709,50.001385
1103.692065,702,57.229254
1211.322049,706,58.892593
1102.430548,705,60.589789
1155.447145,701,67.716198
1132.775973,703,69.611681
1167.152992,702,71.129843
1207.86779,679,78.520954
1147.17506,696,79.90331
1151.248242,708,81.512509
1244.985633,708,88.66122
1157.209472,710,90.880962
1167.245711,718,93.962487
1142.664566,707,111.708412
1168.44757,711,114.263389
1173.123406,705,116.667263
1137.37403,707,127.484117
1227.151249,718,129.470777
1055.899816,707,132.250987
1174.683554,711,144.116748
1001.915971,706,145.709557
1180.042873,698,147.181862
1122.517112,700,158.152485
1199.490944,704,159.62868
1148.417767,689,161.444839
1161.236414,705,169.166133
1181.336922,704,170.682165
1152.036924,700,172.276954
1190.743752,702,181.929413
