time/iterations,train/entropy_coef,time/total_timesteps,train/clip_range,time/fps,train/learning_rate,time/time_elapsed,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
50,0.017952,102400,0.2,1496,0.0003,68,490,0.02237868117517792,0.012404762,0.136669921875,0.9727914165705442,-0.014421648185816593,1.3107054233551025,-0.16443723440170288,-10.064649385213851,,
51,0.01791104,104448,0.2,1496,0.0003,69,500,0.024986932091997004,0.011364797,0.1349609375,0.9726092740893364,-0.017087396772694774,1.3172358274459839,-0.20023861527442932,-10.112508615851402,,
52,0.01787008,106496,0.2,1498,0.0003,71,510,0.019569065733230674,0.011255488,0.12099609375,0.9760813750326633,-0.013634573644958436,1.317233920097351,-0.195100337266922,-10.128367123007774,,
53,0.01782912,108544,0.2,1499,0.0003,72,520,0.01983439502073452,0.012609039,0.138134765625,0.9769130181521177,-0.017950045605539346,1.315941333770752,-0.18772947788238525,-10.12586120069027,,
54,0.01778816,110592,0.2,1500,0.0003,73,530,0.020779746331390923,0.010502644,0.1189453125,0.9743734933435917,-0.012411687448911834,1.324055552482605,-0.18587654829025269,-10.144129487872124,,
55,0.0177472,112640,0.2,1500,0.0003,75,540,0.02542155781702604,0.010234506,0.1078125,0.971501562744379,-0.013703147013438865,1.32733952999115,-0.18407537043094635,-10.167587420344352,,
56,0.01770624,114688,0.2,1502,0.0003,76,550,0.021321360874571836,0.009004695,0.090576171875,0.9737191069871187,-0.014586403215071186,1.3308618068695068,-0.20678186416625977,-10.177376699447631,,
57,0.01766528,116736,0.2,1504,0.0003,77,560,0.018670799079700373,0.011033214,0.112255859375,0.9709593039005995,-0.018974413044634274,1.3301316499710083,-0.17775991559028625,-10.186419525742531,,
58,0.01762432,118784,0.2,1506,0.0003,78,570,0.02185765981557779,0.011028547,0.1064453125,0.9730433747172356,-0.013795621928875335,1.336462378501892,-0.17090971767902374,-10.201143816113472,,
,0.01760016,120000,0.2,,0.0003,,580,0.020647308975458144,0.009861939,0.10048828125,0.9771058112382889,-0.014137999195372685,1.3401174545288086,-0.21195989847183228,-10.223196586966514,41.0,-3.3687252908945085
59,0.01758336,120832,0.2,1502,0.0003,80,,,,,,,,,,,
60,0.0175424,122880,0.2,1504,0.0003,81,590,0.01883149898785632,0.011345835,0.116455078125,0.9778220746666193,-0.016545078775379807,1.3608036041259766,-0.198634073138237,-10.277610737085343,,
61,0.01750144,124928,0.2,1505,0.0003,82,600,0.020373094431124627,0.010744256,0.1177734375,0.9735540598630905,-0.014767227225820533,1.3591711521148682,-0.18361862003803253,-10.317075663805008,,
62,0.01746048,126976,0.2,1507,0.0003,84,610,0.015712730228551665,0.009192764,0.085888671875,0.9793358854949474,-0.012718010412936565,1.37223219871521,-0.21816931664943695,-10.345098075270652,,
63,0.01741952,129024,0.2,1509,0.0003,85,620,0.014892414171481506,0.010089582,0.121435546875,0.983233816921711,-0.016662382186041214,1.3808424472808838,-0.1995977759361267,-10.391369462013245,,
64,0.01737856,131072,0.2,1512,0.0003,86,630,0.019525424239691346,0.009796968,0.087744140625,0.9746879525482655,-0.012522548108245246,1.377744197845459,-0.17087912559509277,-10.390421703457832,,
65,0.0173376,133120,0.2,1513,0.0003,87,640,0.019164416476269253,0.009934612,0.10849609375,0.9747598357498646,-0.014062613635906019,1.3853342533111572,-0.20093271136283875,-10.39358933866024,,
66,0.017296640000000002,135168,0.2,1512,0.0003,89,650,0.01842118112836033,0.009740008,0.09892578125,0.976492628455162,-0.0145425329945283,1.393119215965271,-0.19364361464977264,-10.422780087590217,,
67,0.01725568,137216,0.2,1513,0.0003,90,660,0.021183028578525408,0.01459165,0.1703125,0.9770647864788771,-0.020469214132754134,1.4054419994354248,-0.1791466474533081,-10.462868070602417,,
68,0.01721472,139264,0.2,1512,0.0003,92,670,0.020043850704678335,0.009349101,0.105419921875,0.9749603513628244,-0.014653194625861943,1.4120824337005615,-0.15627700090408325,-10.498666867613792,,
69,0.01717376,141312,0.2,1514,0.0003,93,680,0.023418500291882083,0.012136255,0.1244140625,0.9688139520585537,-0.01684406638960354,1.411977767944336,-0.1916942447423935,-10.512539571523666,,
70,0.0171328,143360,0.2,1515,0.0003,94,690,0.021985439292620867,0.011917703,0.119482421875,0.9732982777059078,-0.01705177981639281,1.410828948020935,-0.1989547163248062,-10.506997811794282,,
71,0.01709184,145408,0.2,1516,0.0003,95,700,0.019023960377671754,0.010274595,0.1115234375,0.9786265287548304,-0.015849523030919955,1.4150893688201904,-0.16225767135620117,-10.513593754172325,,
72,0.01705088,147456,0.2,1518,0.0003,97,710,0.02093401648744475,0.010882607,0.114599609375,0.9753353260457516,-0.014817954880709295,1.4271180629730225,-0.19745521247386932,-10.552228516340255,,
73,0.01700992,149504,0.2,1519,0.0003,98,720,0.019958513538585975,0.011535555,0.123095703125,0.9762916229665279,-0.01662898310169112,1.4332464933395386,-0.19711773097515106,-10.594244003295898,,
74,0.01696896,151552,0.2,1520,0.0003,99,730,0.024377026298316194,0.011888339,0.121826171875,0.9735354892909527,-0.01827635833178647,1.4446687698364258,-0.18214064836502075,-10.625025475025177,,
75,0.016928000000000002,153600,0.2,1521,0.0003,100,740,0.02314753312675748,0.008616357,0.10087890625,0.9745061658322811,-0.014996769036224577,1.4538192749023438,-0.1970953792333603,-10.657601144909858,,
76,0.01688704,155648,0.2,1522,0.0003,102,750,0.022251997553394177,0.010635644,0.116064453125,0.9753648303449154,-0.017298731225309893,1.464542269706726,-0.19936314225196838,-10.699693977832794,,
77,0.01684608,157696,0.2,1524,0.0003,103,760,0.019747758487937972,0.00973147,0.1021484375,0.9756986945867538,-0.014253090962301939,1.4743250608444214,-0.19633720815181732,-10.738523468375206,,
78,0.01680512,159744,0.2,1525,0.0003,104,770,0.017091595535748638,0.009846112,0.102880859375,0.9790692217648029,-0.015201879336382262,1.4697822332382202,-0.19414383172988892,-10.746499681472779,,
,0.01680016,160000,0.2,,0.0003,,780,0.018560817670368122,0.013000878,0.145947265625,0.9799457676708698,-0.01991725022380706,1.4721992015838623,-0.20030905306339264,-10.741598671674728,41.0,-3.2810322120785713
79,0.01676416,161792,0.2,1522,0.0003,106,,,,,,,,,,,
80,0.0167232,163840,0.2,1523,0.0003,107,790,0.02349464653234463,0.012226548,0.123583984375,0.9696206133812666,-0.016845092017319985,1.487797737121582,-0.19709068536758423,-10.780596759915351,,
81,0.01668224,165888,0.2,1524,0.0003,108,800,0.023475146148120983,0.010603643,0.11591796875,0.9709367919713259,-0.015691388587583788,1.4941868782043457,-0.19859634339809418,-10.823577311635017,,
82,0.01664128,167936,0.2,1526,0.0003,110,810,0.017834190838038923,0.012358473,0.133154296875,0.977169306948781,-0.020025137459742836,1.5007197856903076,-0.20515835285186768,-10.844647043943406,,
83,0.016600320000000002,169984,0.2,1527,0.0003,111,820,0.016974368935916574,0.011184393,0.11787109375,0.980595301836729,-0.01633021558227483,1.5003035068511963,-0.19293785095214844,-10.85104614496231,,
