scenario,episode,total_reward,episode_length,success,timestamp,closest_approach,successful_interception,efficiency_score,fuel_total_interceptor_fuel,fuel_average_interceptor_fuel,fuel_max_interceptor_fuel,num_missiles,num_interceptors
easy,0,[96.837326],34,True,1753297827.255965,31.256500758836445,True,[2.8481567],228.37176300961428,228.37176300961428,228.37176300961428,1,1
easy,1,[96.83728],34,True,1753297827.268346,31.612116529725878,True,[2.8481553],229.54705996426367,229.54705996426367,229.54705996426367,1,1
easy,2,[96.83811],34,True,1753297827.277982,31.129961414653202,True,[2.8481798],228.26907362842712,228.26907362842712,228.26907362842712,1,1
easy,3,[96.80892],34,True,1753297827.2882612,31.63298098331697,True,[2.8473213],227.80584433231303,227.80584433231303,227.80584433231303,1,1
easy,4,[96.7586],34,True,1753297827.297503,32.648249998081816,True,[2.8458412],228.24551361515384,228.24551361515384,228.24551361515384,1,1
