train/clip_range,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_coef,train/learning_rate,time/iterations,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0.2,1730,38912,22,0.01922176,0.0003,19,0.077978515625,0.007620126,-0.1646605134010315,-0.01040538069064496,-8.874162766337395,0.00717752139098593,180,1.0618212223052979,0.7614639848470688,,
0.2,,40000,,0.01920016,0.0003,,0.116015625,0.01036337,-0.1900525540113449,-0.011420329200336709,-8.883427333831786,0.00700348124737502,190,1.0669587850570679,0.812348261475563,1000.0,-46.13181045055389
0.2,1387,40960,29,0.0191808,0.0003,20,,,,,,,,,,,
0.2,1401,43008,30,0.01913984,0.0003,21,0.0953125,0.010083113,-0.1385418325662613,-0.010224686792935245,-8.939797952771187,0.00708776514584315,200,1.0796173810958862,0.8426421582698822,,
0.2,1414,45056,31,0.01909888,0.0003,22,0.095361328125,0.009008611,-0.1963179111480713,-0.01251829907123465,-8.980897876620293,0.009004440470016561,210,1.0820038318634033,0.5150249600410461,,
0.2,1427,47104,33,0.01905792,0.0003,23,0.096630859375,0.009801341,-0.1908675581216812,-0.011327389502548612,-9.017447742819787,0.006167625044326996,220,1.0925413370132446,0.8576596230268478,,
0.2,1435,49152,34,0.01901696,0.0003,24,0.114111328125,0.0102926195,-0.17117705941200256,-0.010276579423225485,-9.064170947670936,0.0064890175715845546,230,1.0996507406234741,0.9344811663031578,,
0.2,1446,51200,35,0.018976,0.0003,25,0.083544921875,0.008897497,-0.18696710467338562,-0.009661659708945081,-9.101821953058243,0.008547546117915772,240,1.1070164442062378,0.8153721541166306,,
0.2,1456,53248,36,0.01893504,0.0003,26,0.131298828125,0.012033037,-0.1881454735994339,-0.01429232802183833,-9.15428366959095,0.0064871274153119884,250,1.11822509765625,0.820572704076767,,
0.2,1465,55296,37,0.01889408,0.0003,27,0.084716796875,0.009756595,-0.2084360122680664,-0.011602581998158713,-9.230705311894416,0.0053436520545801615,260,1.1347641944885254,0.8872964680194855,,
0.2,1474,57344,38,0.01885312,0.0003,28,0.11796875,0.011468897,-0.19572213292121887,-0.012987599123152904,-9.302153527736664,0.004505597719253273,270,1.1459792852401733,0.900140143930912,,
0.2,1480,59392,40,0.01881216,0.0003,29,0.11240234375,0.012085621,-0.1988055557012558,-0.01357534240523819,-9.34231612086296,0.025569129743962547,280,1.1525205373764038,0.6454081833362579,,
0.2,1488,61440,41,0.018771200000000002,0.0003,30,0.101123046875,0.009568471,-0.1954447478055954,-0.011892932903720066,-9.392195215821266,0.008907166485732887,290,1.164128065109253,0.8108169585466385,,
0.2,1496,63488,42,0.018730240000000002,0.0003,31,0.101904296875,0.009471223,-0.20513813197612762,-0.012106161887641066,-9.442819485068322,0.005891566905484069,300,1.1733412742614746,0.758809819817543,,
0.2,1501,65536,43,0.01868928,0.0003,32,0.109033203125,0.011505473,-0.17603540420532227,-0.012577763930312357,-9.490699997544288,0.004156222001620335,310,1.181668996810913,0.9407382383942604,,
