time/iterations,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/entropy_coef,time/time_elapsed,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
24,1240,49152,0.2,0.0003,0.01901696,39,0.008590057521359995,1.1534483432769775,230,-0.020835087326122447,0.012619158,0.5628261864185333,-0.19229698181152344,0.129833984375,-9.349293720722198,,
25,1246,51200,0.2,0.0003,0.018976,41,0.010416837903903797,1.1638336181640625,240,-0.021637317785643973,0.013898409,0.8051951676607132,-0.21192283928394318,0.137548828125,-9.395251321792603,,
26,1255,53248,0.2,0.0003,0.01893504,42,0.007736422539892374,1.1763298511505127,250,-0.016627097481978124,0.009484716,0.4894718527793884,-0.19707918167114258,0.0896484375,-9.451421463489533,,
27,1265,55296,0.2,0.0003,0.01889408,43,0.005851174752024235,1.1841838359832764,260,-0.018789115647086872,0.010763078,0.3202805519104004,-0.18921907246112823,0.119140625,-9.50370645225048,,
28,1272,57344,0.2,0.0003,0.01885312,45,0.005113289927976439,1.1877572536468506,270,-0.017268785569467583,0.010937079,0.43240511417388916,-0.20714408159255981,0.112451171875,-9.52897609770298,,
29,1277,59392,0.2,0.0003,0.01881216,46,0.007911881932523101,1.1906784772872925,280,-0.020540014261496254,0.011899114,0.8433278053998947,-0.19377629458904266,0.124365234375,-9.543414023518562,,
30,1283,61440,0.2,0.0003,0.018771200000000002,47,0.00655313493552967,1.197582721710205,290,-0.02056264148268383,0.011558461,0.7701766639947891,-0.19871783256530762,0.1369140625,-9.572623166441918,,
31,1289,63488,0.2,0.0003,0.018730240000000002,49,0.006768605636170833,1.1991610527038574,300,-0.02048746537475381,0.009932874,0.4680529236793518,-0.20452071726322174,0.1173828125,-9.592778614163398,,
32,1296,65536,0.2,0.0003,0.01868928,50,0.009557847437099554,1.2043466567993164,310,-0.022291401872644202,0.013098737,0.5718746781349182,-0.20450904965400696,0.134326171875,-9.607563748955727,,
33,1301,67584,0.2,0.0003,0.01864832,51,0.0058778984835953455,1.2113456726074219,320,-0.023278001087601297,0.011906544,0.5876213312149048,-0.217804417014122,0.1357421875,-9.640172976255418,,
34,1307,69632,0.2,0.0003,0.01860736,53,0.0063811198517214505,1.2139424085617065,330,-0.02161089723522309,0.01197876,0.6246864199638367,-0.20206478238105774,0.134814453125,-9.662219655513763,,
35,1308,71680,0.2,0.0003,0.0185664,54,0.007968948136840482,1.2148945331573486,340,-0.019213655494968406,0.009867181,0.6221260726451874,-0.19632838666439056,0.108935546875,-9.669024649262429,,
36,1310,73728,0.2,0.0003,0.01852544,56,0.00868421255145222,1.2184031009674072,350,-0.022473336081020534,0.010820293,0.5979624390602112,-0.21700292825698853,0.12197265625,-9.68090808391571,,
37,1315,75776,0.2,0.0003,0.01848448,57,0.022662167438829782,1.2278454303741455,360,-0.02122518116957508,0.01387394,0.47576481103897095,-0.19141753017902374,0.16005859375,-9.712760835886002,,
38,1321,77824,0.2,0.0003,0.01844352,58,0.006592762591753854,1.228045105934143,370,-0.01941030468151439,0.009469116,0.5264141261577606,-0.2196148931980133,0.091015625,-9.730641916394234,,
39,1327,79872,0.2,0.0003,0.018402560000000002,60,0.006335533765377477,1.2365367412567139,380,-0.021772549647721462,0.011411089,0.6893214285373688,-0.2207440584897995,0.1294921875,-9.759153747558594,,
