time/iterations,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/entropy_coef,time/time_elapsed,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,1945,2048,0.2,0.0003,0.01995904,1,,,,,,,,,,,
2,1368,4096,0.2,0.0003,0.01991808,2,2.9803969342261554,1.0028479099273682,10,-0.016472470029839315,0.015562532,0.1481366753578186,4.44773530960083,0.130615234375,-8.527194347977638,,
3,1423,6144,0.2,0.0003,0.01987712,4,0.045111624186392876,1.0106606483459473,20,-0.017148832988459616,0.011295194,0.6630112826824188,-0.1393793523311615,0.104248046875,-8.557373934984208,,
4,1442,8192,0.2,0.0003,0.019836160000000002,5,0.029043229040689768,1.0259761810302734,30,-0.018138039199402555,0.011820903,0.7793950289487839,-0.18719446659088135,0.127880859375,-8.631492060422897,,
5,1467,10240,0.2,0.0003,0.0197952,6,0.027361969446064904,1.0352869033813477,40,-0.015303366151056253,0.011350802,0.8483011722564697,-0.19693616032600403,0.108544921875,-8.698839536309242,,
6,1483,12288,0.2,0.0003,0.01975424,8,0.023607975371123757,1.041841745376587,50,-0.016613387288816738,0.010391805,0.6966201663017273,-0.2114340364933014,0.11787109375,-8.740892860293389,,
7,1488,14336,0.2,0.0003,0.01971328,9,0.017294318246422337,1.047816514968872,60,-0.019487719799508342,0.013895821,0.8163433820009232,-0.1878264993429184,0.15322265625,-8.779070112109185,,
8,1485,16384,0.2,0.0003,0.01967232,11,0.013480887380137575,1.0452263355255127,70,-0.01653531508927699,0.010785637,0.8538064211606979,-0.1889512538909912,0.1021484375,-8.782979881763458,,
9,1496,18432,0.2,0.0003,0.01963136,12,0.01989057970349677,1.050968050956726,80,-0.017815724237880203,0.0107686,0.7783783674240112,-0.19508139789104462,0.103662109375,-8.794620621204377,,
10,1488,20480,0.2,0.0003,0.0195904,13,0.02424674568756018,1.0597771406173706,90,-0.014979546100948937,0.011609053,0.5099685490131378,-0.1358298808336258,0.09736328125,-8.838035354018212,,
11,1495,22528,0.2,0.0003,0.01954944,15,0.009096203667286317,1.070618987083435,100,-0.018048914612154476,0.012318483,0.4934965968132019,-0.19388075172901154,0.139794921875,-8.899303290247918,,
12,1497,24576,0.2,0.0003,0.01950848,16,0.009302195186319296,1.0806052684783936,110,-0.016283000679686667,0.010662749,0.5454997420310974,-0.1944187432527542,0.1166015625,-8.951400044560433,,
13,1505,26624,0.2,0.0003,0.019467520000000002,17,0.015467564310529269,1.0887998342514038,120,-0.01868519245472271,0.010954481,0.8702933192253113,-0.2139117270708084,0.1212890625,-9.006560915708542,,
14,1513,28672,0.2,0.0003,0.01942656,18,0.01175164362648502,1.0876201391220093,130,-0.02281472093309276,0.013902592,0.5718197226524353,-0.18840155005455017,0.15556640625,-9.019802543520928,,
15,1510,30720,0.2,0.0003,0.0193856,20,0.006284973221772816,1.094609260559082,140,-0.01875316172663588,0.0110973045,0.6070443689823151,-0.20842698216438293,0.124560546875,-9.03902613222599,,
16,1517,32768,0.2,0.0003,0.01934464,21,0.008826804546697532,1.0999423265457153,150,-0.016097685109707528,0.009521479,0.30713701248168945,-0.19697211682796478,0.098779296875,-9.071941623091698,,
17,1520,34816,0.2,0.0003,0.01930368,22,0.012180035165511072,1.108121633529663,160,-0.01826899510633666,0.011039861,0.8557375520467758,-0.19361397624015808,0.126318359375,-9.112181195616722,,
18,1525,36864,0.2,0.0003,0.01926272,24,0.007003083526797127,1.1138112545013428,170,-0.0198936296190368,0.012443639,0.6739411354064941,-0.21132466197013855,0.129443359375,-9.146440961956978,,
19,1520,38912,0.2,0.0003,0.01922176,25,0.005912876655202126,1.1179234981536865,180,-0.019063233718043193,0.011380505,0.6291744112968445,-0.19901317358016968,0.12138671875,-9.17025271654129,,
,,40000,0.2,0.0003,0.01920016,,0.008386950130807235,1.1164031028747559,190,-0.021241175194154492,0.012157786,0.45485442876815796,-0.19359084963798523,0.12978515625,-9.171062096953392,1000.0,-45.39998643321451
20,1198,40960,0.2,0.0003,0.0191808,34,,,,,,,,,,,
21,1210,43008,0.2,0.0003,0.01913984,35,0.024983093806076793,1.125457763671875,200,-0.017245350548182613,0.0115527855,0.7468979954719543,-0.2017630785703659,0.113818359375,-9.198697850108147,,
22,1219,45056,0.2,0.0003,0.01909888,36,0.007574372453382239,1.1411733627319336,210,-0.018962630716850983,0.011970479,0.3861019015312195,-0.21344976127147675,0.133740234375,-9.268041241168977,,
23,1229,47104,0.2,0.0003,0.01905792,38,0.007264789738110266,1.147385835647583,220,-0.021102995114051736,0.01135036,0.5495162308216095,-0.19130125641822815,0.129296875,-9.322288948297501,,
