run_id,num_episodes,success_rate,avg_reward,std_reward,avg_steps,std_steps,avg_time,avg_final_distance,min_distance,max_reward,min_reward,total_steps,total_time
0,5,0.0,252.09904982640455,73.0148448952924,250.0,0.0,0.13242526054382325,1004.2076220551611,546.8512679710365,340.19524532424583,158.88220624295707,1250,0.6621263027191162
1,5,0.0,170.1789682170642,41.236935348685826,250.0,0.0,0.1145700454711914,1297.1571729984105,1101.9598999719115,242.98566615971527,121.68424313263189,1250,0.572850227355957
2,5,0.0,273.9839902909848,67.06773857091986,250.0,0.0,0.11420249938964844,937.1781842926503,694.9893467988392,352.64450200679636,183.00482999144253,1250,0.5710124969482422
3,5,0.0,268.687746776845,35.31485350347598,250.0,0.0,0.11807270050048828,860.8383081501679,615.9790726504007,304.3070768304727,200.9735263589204,1250,0.5903635025024414
4,5,0.0,251.3224081429339,67.34922358815497,250.0,0.0,0.1264362335205078,1035.3810063446276,707.6360665755927,315.2736072982008,128.46768035698156,1250,0.6321811676025391
5,5,0.0,260.5113626108866,72.12655227460858,250.0,0.0,0.11927580833435059,1000.1915563198716,658.6768223918585,364.15971495241865,143.4662226800749,1250,0.5963790416717529
6,5,0.0,275.96321292566967,89.1283055063312,250.0,0.0,0.11408796310424804,934.2733035394267,468.6981223547758,341.9011234750253,101.09323451892693,1250,0.5704398155212402
7,5,0.0,217.31806792766915,126.85784888518299,250.0,0.0,0.11425905227661133,974.1370589728322,429.58375946725266,341.99996848171605,44.61816504456224,1250,0.5712952613830566
8,5,0.0,182.8383324519661,86.60311796735846,250.0,0.0,0.11419129371643066,1226.5294249462095,686.9217352202687,295.3163945723193,96.25365121076817,1250,0.5709564685821533
9,5,0.0,171.38898756609873,100.169302490879,250.0,0.0,0.11409683227539062,1411.7628291877531,1009.581230231411,299.9412193611729,26.787608177320738,1250,0.5704841613769531
