#{"t_start": 1751935079.977292, "env_id": "None"}
r,l,t
113893.898827,598,2.297181
349835.754945,693,4.110392
516047.308543,692,5.736464
515563.48207,673,14.001502
549169.605853,666,15.345565
513421.489917,664,16.846166
508184.387272,653,23.956922
514467.692891,650,25.230331
539913.474431,651,26.540531
506647.860488,671,34.483296
523199.384673,653,35.851969
532494.351391,657,37.211123
521036.097976,653,45.209123
530909.423365,651,46.91243
511814.454212,653,48.493442
509610.724569,663,56.56142
541401.444841,664,57.713678
589757.95494,658,59.382261
538137.550204,663,66.90963
541836.014815,649,68.357976
567199.082934,656,69.96362
532834.640545,659,78.174515
534324.157492,655,79.531588
570902.550893,661,81.104507
530659.66029,647,89.694915
564628.11311,648,90.952639
541676.435413,648,92.237705
566301.722741,655,93.738386
532631.399514,650,101.093924
534129.963677,646,102.575043
588071.721634,653,103.809422
510091.268346,647,111.264101
511293.0447,663,112.660611
516709.020974,646,114.00566
528016.659764,646,121.658993
564250.46591,644,123.100991
534804.749132,644,124.553382
574503.229088,646,133.174352
563996.698784,637,134.367832
544377.69292,642,135.90426
540817.068037,646,143.488283
548052.647409,642,144.844895
554809.399397,647,146.306906
567715.573359,646,154.554548
578358.952828,642,155.824384
551517.219289,636,157.551083
560548.007259,645,159.383615
545296.515313,646,166.490467
677667.61406,574,167.628166
558003.146886,642,169.148211
546163.905897,638,177.366871
547849.142047,649,179.309557
564839.335884,641,181.145051
530931.363276,647,189.873235
568468.775288,646,191.951164
557230.635341,640,194.164001
552744.917232,638,202.922887
544213.345604,641,204.329331
563343.336059,646,206.074724
547782.083938,639,214.742549
527845.022267,640,216.153206
530607.548084,651,217.569419
540210.170507,637,219.087288
573472.803964,637,226.242317
549606.351809,651,227.643705
560716.168941,640,229.595066
561555.006741,643,237.873788
550351.661983,643,239.144245
539920.818088,639,240.829179
561946.540081,650,249.320215
525066.969765,644,250.695026
534898.206195,643,252.089104
581449.561192,639,260.996981
559833.543678,646,262.410278
552654.996587,642,264.161569
551785.696055,641,272.807327
577973.104569,643,274.642737
561626.146193,634,276.237984
531469.679746,643,277.878837
568416.931865,645,287.261381
562046.79704,645,288.918949
589170.804947,644,290.600994
