#{"t_start": 1751935079.946999, "env_id": "None"}
r,l,t
115913.543114,521,2.212339
414406.91738,695,3.877629
552659.111806,692,5.54036
407932.382524,666,13.877589
530470.707739,666,15.202643
497339.319679,671,16.715118
482433.265534,656,23.846642
540496.091724,649,25.119291
515302.712683,659,26.428626
524922.304945,660,34.348673
504052.928674,655,35.738265
502042.252136,666,37.09413
507035.515577,655,45.106515
490196.254065,662,46.810826
502795.832382,655,48.412643
528808.408488,657,56.48927
532094.916479,645,57.610107
538133.615748,654,59.261004
525001.851385,649,66.741284
547337.566298,653,68.166808
550978.596004,643,69.781224
559028.60589,652,77.755407
555089.103919,647,79.317971
544925.718178,646,80.843504
576323.757277,653,82.42196
531277.472124,655,90.747026
539957.313541,652,92.039155
519484.443578,646,93.334917
558907.938854,654,100.898429
550449.823467,655,102.381341
521695.095573,651,103.627615
560173.008185,638,111.072207
505298.841241,641,112.385962
553371.138393,653,113.753996
541233.009311,673,121.474815
569708.821996,650,122.919912
614730.230521,655,124.329281
557152.474897,653,133.044273
568595.658301,643,134.243742
544149.137739,645,135.774483
563229.459058,657,143.381598
558502.971824,645,144.723649
571975.003288,641,146.197811
566972.946778,646,154.459683
574056.496879,644,155.722095
597731.076407,640,157.33339
545251.45674,644,159.255704
562413.28192,646,166.400412
544204.233816,637,167.65587
539381.014871,652,169.196397
566664.034596,643,177.430095
534861.093973,651,179.385295
572016.397416,644,181.223689
550847.833877,643,189.934324
552211.441351,640,192.024958
526917.582012,632,194.20045
528311.180393,639,202.964673
532963.46851,639,204.360375
566267.998268,646,206.105111
555937.435599,645,214.78577
534512.186479,645,216.208594
549013.931255,642,217.604565
545355.263024,648,219.160707
550137.864327,645,226.325158
536943.101906,642,227.728318
529936.38829,640,229.659643
545074.005098,640,237.923652
576687.938899,644,239.203454
543924.414354,649,240.902565
557623.397442,637,249.380377
576871.739175,637,250.725433
572337.307854,639,252.110223
539156.413592,641,261.021742
545090.747513,647,262.437269
557392.421099,641,264.18731
546100.302424,638,272.825386
567721.878881,639,274.6517
576876.739144,643,276.269185
631262.802108,646,277.917283
560628.175395,636,287.27791
574281.221632,639,288.919756
540131.667968,638,290.593224
