#{"t_start": 1751935079.939475, "env_id": "None"}
r,l,t
86082.344923,496,2.181341
278152.581303,701,3.839903
451752.821692,674,5.471048
483207.628405,669,13.820215
533194.791876,675,15.160259
533926.066629,664,16.658264
500510.512942,662,23.797842
528248.857881,654,25.087396
526588.100711,666,26.397024
543279.696205,666,34.325524
487638.895182,662,35.742732
516644.026556,664,37.094182
535682.339167,654,45.102854
509695.13116,664,46.811588
514786.701854,657,48.420306
555843.117329,653,56.481711
520487.881825,653,57.626065
527745.612916,651,59.271614
539601.386178,655,66.763129
569504.608203,651,68.186897
523813.743104,651,69.81511
548512.09081,652,77.831468
540554.954748,656,79.369735
564427.463442,645,80.898905
602101.541888,655,82.48452
523897.978754,642,90.773552
567913.293345,648,92.06001
529027.659212,656,93.383866
528940.35354,646,100.92081
549478.883921,649,102.397358
576809.079288,656,103.649879
529556.821998,642,111.10074
548266.733283,647,112.432653
575106.515099,655,113.799402
539843.406682,652,121.476964
527831.139667,650,122.922118
554151.414324,648,124.313968
540962.738465,656,133.035203
543503.187937,644,134.241348
528640.985525,639,135.758924
558090.140478,662,143.364304
554286.174078,651,144.731304
551296.864415,637,146.196173
571525.293108,649,154.464582
545581.17192,648,155.735751
529131.207022,646,157.381139
540580.072773,646,159.299093
537776.651353,639,166.418299
557130.089293,637,167.673216
563992.646938,645,169.198071
548211.329381,639,177.420884
583838.616106,643,179.352065
569275.925705,644,181.194032
565798.174173,640,189.902355
566244.53698,643,191.962322
569810.593247,639,194.17892
556622.716672,639,202.94653
528054.349123,643,204.357166
544271.673668,639,206.085188
551576.167054,646,214.768678
557609.361485,641,216.183877
542779.013622,645,217.588089
569567.123575,641,219.107341
551395.608736,650,226.299196
534042.770213,653,227.723555
545174.091192,646,229.679076
569347.789142,636,237.931212
573869.223732,648,239.22343
546492.270965,639,240.895903
547955.676679,643,249.388053
534852.654604,642,250.74443
560251.658069,647,252.146047
544825.964811,642,261.063481
576777.566592,647,262.492801
538540.96714,635,264.212348
567511.315124,645,272.868134
599131.422114,640,274.700009
557131.371226,638,276.303292
556462.203687,636,277.927998
594236.843519,637,287.290716
545329.968485,647,288.95116
570432.204207,647,290.642271
