#{"t_start": 1751935079.946114, "env_id": "None"}
r,l,t
-69690.792908,405,2.02946
371689.572331,697,3.474571
451321.664187,675,5.285995
556412.276142,680,13.616563
526307.628837,666,14.95971
517115.789962,669,16.485969
530767.522008,666,23.613466
553374.017113,660,24.941764
521203.752307,664,26.225502
531500.661105,658,34.01102
514030.940401,651,35.555123
505199.923905,671,36.899653
534566.65242,664,44.936377
519824.428333,655,46.449293
480886.484782,679,48.282825
538421.290713,661,56.371364
565325.126375,652,57.501131
546866.593342,645,59.116576
508043.072161,657,66.636144
523813.77847,650,68.019473
537347.939648,651,69.676804
555365.921469,645,70.953307
544360.057472,655,79.188406
575802.835426,649,80.73819
552138.618456,656,82.305007
581688.646134,650,90.648032
541695.605105,667,91.96763
570243.640278,651,93.26288
581454.400468,648,100.826501
522590.858153,654,102.307064
537835.38207,642,103.539197
552485.101106,648,111.004725
531511.444548,646,112.31258
554886.959375,649,113.679534
497201.783361,657,121.343875
540793.972925,641,122.783835
574589.701824,651,124.164974
527104.970746,647,132.895613
551750.875867,650,134.120436
544163.88663,653,135.658238
561323.725005,636,143.194943
564306.52686,648,144.575635
540834.748583,647,146.04994
562359.826099,639,147.5658
544777.665968,641,155.5643
547394.972348,647,157.047359
562845.696568,638,158.99924
545954.915612,648,166.243881
553655.889972,649,167.527113
556132.840477,641,169.036419
531057.038135,648,177.267087
532410.296757,645,179.181263
551704.398715,645,181.045655
553202.610611,647,189.796512
537164.785771,648,191.75551
568631.1988,650,194.073576
546679.132851,649,202.882569
551978.109231,648,204.296651
532735.560704,651,206.054022
514526.152134,648,214.745408
558386.642091,644,216.167674
554458.794159,649,217.581576
551628.241056,644,219.112625
589651.577482,651,226.303335
575162.075748,650,227.722686
572367.971316,640,229.657031
584865.857086,644,237.931125
568952.229276,646,239.221241
520694.573061,640,240.894299
529727.118314,646,249.400522
573183.907176,649,250.766641
560315.86483,641,252.153301
560072.671592,642,261.069905
537058.941639,651,262.528507
608284.657565,648,264.250928
540086.634731,637,272.894979
554751.198796,647,274.745952
542598.013085,647,276.363067
585211.823767,633,277.981343
549403.775737,636,287.339621
546878.988241,638,288.985001
590544.106402,650,290.679095
