#{"t_start": 1751935079.923692, "env_id": "None"}
r,l,t
7131.609177,668,2.456463
345852.260858,697,4.397463
495163.618161,679,6.020981
516569.772402,685,14.200538
527037.63229,668,15.580586
519741.245046,666,17.064311
510451.260677,667,24.179639
503257.173008,659,25.473681
537175.543703,657,27.082491
505629.208657,648,34.693227
519360.067937,661,36.085547
539223.307117,650,37.556092
503501.669241,661,45.465983
536059.05466,652,47.202895
546417.532822,655,48.746149
508137.070785,655,56.76315
539679.426453,654,57.989956
525359.48983,664,59.588302
537275.525259,648,67.111125
506976.607518,663,68.607214
528669.549959,662,70.176581
571295.530208,652,78.390508
559473.680506,656,79.775768
558610.370035,653,81.364748
559201.277296,644,89.884587
511370.268285,646,91.145362
577143.917123,657,92.443125
571930.803987,654,100.015912
530700.87713,651,101.35821
534737.797997,648,102.776354
551270.394059,647,104.000677
521214.559261,657,111.4603
517935.204566,660,112.900728
456031.952088,653,114.339467
516880.676428,647,121.948146
554920.397935,646,123.35098
530032.717508,658,124.953211
576159.156546,651,133.418955
503974.168585,658,134.702358
520694.76468,647,136.307885
549282.624222,646,143.79499
536727.897928,649,145.347198
544573.955219,648,146.68003
525644.926147,640,154.877856
533738.519647,651,156.221379
544826.657637,647,158.334116
528710.366916,649,165.605523
527353.804203,637,166.833629
544241.149929,643,168.25744
569737.477665,646,169.634922
541234.031555,637,178.081544
577502.32702,648,180.023484
534763.116285,651,182.004974
571588.745472,645,190.712922
541393.072074,642,192.815255
548612.409844,640,195.075644
553323.640991,648,203.429306
567774.286307,644,205.123351
569146.293811,642,206.697248
555271.112128,641,215.265096
563399.169958,643,216.747097
557219.85769,647,218.107627
531832.476119,640,225.484593
547406.927807,649,226.82259
566068.768088,640,228.439422
566561.279872,646,237.218409
560808.187115,646,238.389929
580616.243167,643,239.814831
538107.425538,643,241.403492
575521.906587,641,249.914343
550478.641548,651,251.306561
537405.066269,640,252.848216
557503.040599,636,261.607201
564729.333947,652,263.132708
560080.704091,655,264.754314
554915.430126,636,273.48416
551143.627674,639,275.341909
563699.172622,642,276.856127
571052.244469,644,286.527813
585892.943712,649,288.110158
589654.076992,647,289.633864
