#{"t_start": 1751935079.971134, "env_id": "None"}
r,l,t
66764.299842,534,2.208453
292076.313762,685,3.864437
521410.183256,684,5.502989
522466.806532,679,13.870933
545371.014058,669,15.202262
536057.48264,662,16.696286
557003.307493,667,23.849104
535836.253043,665,25.151825
552261.26512,654,26.456319
477250.982694,652,34.370978
519744.553342,659,35.750661
508803.942023,654,37.088137
516130.473318,660,45.112078
512334.720796,661,46.818509
505037.76978,656,48.418287
538315.822651,654,56.485994
538690.558096,657,57.625608
500612.549864,671,59.31404
560728.165326,647,66.787236
583673.014228,651,68.233498
527784.013871,659,69.879599
535646.449771,650,78.038406
548791.189762,652,79.400483
536514.941559,657,80.964963
581357.104701,655,89.588357
532422.531623,643,90.827701
550531.182792,650,92.124956
534670.194504,648,93.483456
541325.756155,640,100.948503
521082.359353,658,102.450005
557105.141278,654,103.694174
563519.261482,645,111.143807
522033.100866,652,112.504681
541773.880358,650,113.856153
584317.137658,650,121.529764
561339.323638,646,122.968596
522331.554037,655,124.392574
555610.572299,645,133.074401
560208.64817,642,134.269847
553725.598671,648,135.808608
593476.191544,645,143.398656
567273.971875,653,144.755005
521313.361572,652,146.245245
515237.730411,648,154.50444
546202.093843,640,155.765952
553382.523491,638,157.432269
520388.635805,653,159.34113
546213.611369,637,166.438895
534748.318653,645,167.712754
540241.719944,646,169.238354
557192.712621,643,177.489429
553954.236096,644,179.42894
573604.140308,642,181.261044
554831.193262,642,189.957772
573014.730872,642,192.104358
556038.154154,647,194.300812
573668.132981,644,203.031589
581620.382122,651,204.473716
503230.210958,649,206.2312
549880.658099,643,214.871502
564289.372585,642,216.316398
557603.52065,644,217.700328
541779.289758,653,225.151647
564408.402884,644,226.43535
548374.922485,650,227.907399
564468.695436,641,229.793336
547931.712211,639,238.029449
573029.768621,635,239.335861
547501.046464,642,241.002432
559258.928209,646,249.510931
544280.099322,644,250.847148
559351.123854,639,252.258534
551381.248474,642,261.154602
514848.78482,639,262.612016
567781.874558,645,264.295548
604722.218386,640,272.965794
582314.088679,641,274.803693
568564.922483,647,276.410412
533952.598217,642,286.07607
603312.270577,641,287.408643
542487.870652,641,289.090404
588811.581382,648,290.750599
